"Text place H-ID","Place name","Location religion","Religious attribution",Geolocation,"Geolocation Page",Mentioned,"Text pointer H-ID","Text pointer RecordTitle","Location pointer H-ID","Location pointer RecordTitle"
65,Zenana,Muslim,Definitional,FALSE,,TRUE,25,"Sunlight on a Broken Column",,
128,"Sutlej River",Unknown,"Other-identified.Narrator other-attributed",CREATED,,,28,"Train to Pakistan",119,"Mano Majra"
137,"Relief Committee Office",Unknown,,FALSE,,,34,Tamas,,
154,"Khalsa School",Sikh,Nominal,,,,34,Tamas,,
176,"Top of hill (Alexander valley)",Unknown,"Other-identified.Character other-attributed",CREATED,27,,34,Tamas,2991,"Hindu Kush"
183,"Naya Mohalla Chowk",Unknown,Speculation,,,,34,Tamas,,
195,"Grain Market",Unknown,Definitional,,,,34,Tamas,,
198,"Milk Shops",Unknown,Definitional,,,,34,Tamas,,
200,Congregation,Hindu,Definitional,,,,34,Tamas,,
211,"THE CITY",Unknown,Definitional,,,,34,Tamas,,
235,"Richard & Liza's bungalow",Christian,Speculation,,,,34,Tamas,,
334,"Rashida's home",Muslim,Speculation,CREATED,,,37,Pinjar,3114,"Sakar Village: Rashid's Home"
338,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,1,,37,Pinjar,3112,"Chatto Village: Pooro's Home"
355,"Sakkar village",Unknown,,CREATED,15,FALSE,37,Pinjar,,
370,"Lucknow, India",Unknown|Unaffiliated,,CREATED,,,25,"Sunlight on a Broken Column",22,"Lucknow University"
397,Well,Muslim,,CREATED,,FALSE,37,Pinjar,3116,"Sakar Village: Well"
427,University,Unknown,,CREATED,,,25,"Sunlight on a Broken Column",22,"Lucknow University"
458,"Rahima's house",Muslim,,CREATED,12,TRUE,37,Pinjar,3115,"Sakar Village: Rahima's Home"
559,Rattoval,Unknown,Speculation,CREATED,,,37,Pinjar,281,"Rattoval Village"
604,"Nathu's Hut",Muslim,,FALSE,,,34,Tamas,,
606,"Sheikh's Garden",Unknown,,FALSE,,,34,Tamas,,
607,"Ox-cart Road",Hindu|Muslim|Sikh,,FALSE,,,34,Tamas,,
610,"Tanners' Colony",,,FALSE,,,34,Tamas,,
612,"Congress Committee Office",Unknown,,CREATED,,,34,Tamas,2580,"Bara Bazaar"
617,"Bara Bazaar",,,CREATED,,,34,Tamas,872,"Raja Bazaar"
632,"Arya School",,,CREATED,,,34,Tamas,33,Rawalpindi
647,Khanpur,Sikh|Hindu,"Other-identified.Character other-attributed",CREATED,,,34,Tamas,875,Khanpur
650,"Harnam Singh's village",Muslim,"Other-identified.Narrator other-attributed",CREATED,,,34,Tamas,871,"Harnam Singh Wala Village"
653,Mirpur,Muslim,"Other-identified.Character other-attributed",CREATED,,,34,Tamas,873,Mirpur
658,"Banto's sister's village",Sikh,"Other-identified.Character other-attributed",CREATED,,TRUE,34,Tamas,875,Khanpur
663,"Jasbir's village",Sikh,"Other-identified.Character other-attributed",CREATED,137,TRUE,34,Tamas,3064,"Saidpur Village"
670,Delhi,Unknown,Speculation,CREATED,,,25,"Sunlight on a Broken Column",3108,Delhi
671,"Hamid's Study",Unknown,,FALSE,,,25,"Sunlight on a Broken Column",,
681,Mecca,Muslim,Definitional,CREATED,,,25,"Sunlight on a Broken Column",1298,Mecca
701,"Mano Majra",Hindu|Muslim|Sikh,,FALSE,,,28,"Train to Pakistan",,
703,Chundunnugger,Unknown,,FALSE,,,28,"Train to Pakistan",,
704,"Mano Majra Railway Station",,,FALSE,,,28,"Train to Pakistan",,
705,Gurudwara,Sikh,Definitional,FALSE,,,28,"Train to Pakistan",,
706,"Near the Railway Station",,,FALSE,,,28,"Train to Pakistan",,
720,"Temple, Congregation",Hindu,Definitional,FALSE,42,FALSE,34,Tamas,,
725,"Local Gurdwaras",Sikh,Definitional,FALSE,,TRUE,34,Tamas,,
726,Mosque,Muslim,Definitional,CREATED,42,TRUE,34,Tamas,879,"Imam Din Gali"
727,"Jama Masjid",Muslim,Definitional,CREATED,42,TRUE,34,Tamas,874,"Jama Masjid"
728,"yard of the temple",Hindu,Definitional,FALSE,42,FALSE,34,Tamas,,
747,Mosque,Muslim,Definitional,FALSE,,,28,"Train to Pakistan",,
750,"Outside the Village on the Station Side",,,FALSE,,,28,"Train to Pakistan",,
751,Rooftops,,,FALSE,,,28,"Train to Pakistan",,
770,"Naya Mohalla",Hindu,"Other-identified.Character other-attributed",CREATED,43,TRUE,34,Tamas,33,Rawalpindi
771,Rajpura,Hindu,"Other-identified.Character other-attributed",CREATED,43,TRUE,34,Tamas,865,Rajpura
777,"Shivala, the Old Temple",Hindu,Definitional,CREATED,44,TRUE,34,Tamas,1065,"Shivala Bazaar"
817,"Imam Din Mohalla",Muslim,Speculation,CREATED,35,TRUE,34,Tamas,879,"Imam Din Gali"
828,"Committee Park",Unknown,,CREATED,35,FALSE,34,Tamas,879,"Imam Din Gali"
834,"Naanbai’s shop, Kutub Din gali, near Imam Din Mohalla",Unknown,,CREATED,,TRUE,34,Tamas,879,"Imam Din Gali"
835,"Kutub Din gali near Imam Din Mohalla",Unknown,,CREATED,38,TRUE,34,Tamas,1529,"Kutub Din"
837,"Kelon ka Masjid",Muslim,Definitional,CREATED,39,TRUE,34,Tamas,870,"Masjid Sherwanikot"
838,"Gali of the Mohyals",,,FALSE,,,34,Tamas,,
856,"Ranvir's home",Unknown,Definitional,FALSE,,,34,Tamas,,
863,Lahore,Muslim,"Other-identified.Narrator other-attributed",CREATED,,,37,Pinjar,1348,Lahore
892,"Mrs Wadia's place",Unknown,,FALSE,,TRUE,25,"Sunlight on a Broken Column",,
918,"Cambridge University",Unaffiliated,,CREATED,172,TRUE,25,"Sunlight on a Broken Column",1295,"Cambridge University"
926,"Hasan Home in the Hills",Muslim,"Other-identified.Character other-attributed",FALSE,,FALSE,25,"Sunlight on a Broken Column",,
937,"Lala Ram Lal's House",Hindu,"Other-identified.Narrator other-attributed",FALSE,,,28,"Train to Pakistan",,
938,"Juggut's House",Sikh,Speculation,FALSE,,,28,"Train to Pakistan",,
943,street,Unknown,,FALSE,254,,25,"Sunlight on a Broken Column",,
959,"Veterinary Hospital",,,FALSE,,,34,Tamas,,
1000,"Railroad Bridge",Unknown,,FALSE,,,28,"Train to Pakistan",,
1001,"River Bank",Unknown,,FALSE,,,28,"Train to Pakistan",,
1002,"Rest House",Unknown,,FALSE,,,28,"Train to Pakistan",,
1004,"Train Compartment",Unknown,,FALSE,,,28,"Train to Pakistan",,
1033,"Bottom of hill",Unknown,,FALSE,,,34,Tamas,,
1035,"Allah Rakha's home",Muslim,Definitional,FALSE,,,34,Tamas,,
1106,"Yard outside Nathu's Hut",Muslim,,FALSE,,,34,Tamas,,
1127,"Scrutiny Committee Office",Unknown,,FALSE,,,34,Tamas,,
1139,Gujranwala,Sikh,"Other-identified.Character other-attributed",CREATED,,,28,"Train to Pakistan",3070,Gujranwala
1163,"Lambardar's House",Unknown,,FALSE,,,28,"Train to Pakistan",,
1166,"Refugee Camp near Chundunnugger",Muslim,Other-identified,FALSE,,TRUE,28,"Train to Pakistan",,
1167,"Refugee camp near Jullundur",Muslim,Speculation,CREATED,,TRUE,28,"Train to Pakistan",3071,Jullunder
1168,Kapoora,Unknown,,CREATED,,TRUE,28,"Train to Pakistan",3119,"Kapoor Haveli"
1169,"Gujjoo Matta",Unknown,,CREATED,,TRUE,28,"Train to Pakistan",3069,"Gajju Matah"
1170,"Imam Baksh's House",Muslim,Definitional,FALSE,,,28,"Train to Pakistan",,
1179,Muridpur,Muslim,"Other-identified.Character other-attributed",CREATED,,FALSE,34,Tamas,1527,Muridpur
1218,"Peepul Tree near the Temple",Unaffiliated,,FALSE,,FALSE,28,"Train to Pakistan",,
1239,"Khalsa Kitchen",Sikh,Definitional,FALSE,,,34,Tamas,,
1240,"Muslim neighbourhood",Muslim,Nominal,FALSE,,,34,Tamas,,
1242,"Sheikh Ghulam Rasool's house",Muslim,,FALSE,,,34,Tamas,,
1251,"Feeding trough",Unknown,,FALSE,,,34,Tamas,,
1253,Kahuta,Sikh,Definitional,CREATED,,,34,Tamas,1553,Kahuta
1262,"Butcher shops",Muslim,"Other-identified.Narrator other-attributed",FALSE,,,34,Tamas,,
1263,"Sheikh's House",Muslim,Definitional,FALSE,,,34,Tamas,,
1264,"Ganda Singh's Tea Stall",Unaffiliated,,CREATED,,,34,Tamas,33,Rawalpindi
1266,Bombay,,,CREATED,,TRUE,34,Tamas,1350,Mumbai
1267,Lahore,,,CREATED,,TRUE,34,Tamas,1348,Lahore
1268,Madras,,,CREATED,,TRUE,34,Tamas,1353,"Madras Presidency"
1277,"Teli Mohalla",Muslim,Speculation,CREATED,,,34,Tamas,33,Rawalpindi
1285,"Harnam Singh's shop",Sikh,Nominal,CREATED,,TRUE,34,Tamas,33,Rawalpindi
1294,"Ehsan Ali's home, Muridpur",Muslim,Nominal,CREATED,,,34,Tamas,1527,Muridpur
1313,"Fields and hills near Muridpur",,,CREATED,,,34,Tamas,,
1320,"Home of Imam Deen the oilman, Muridpur",Muslim,Definitional,CREATED,,,34,Tamas,1527,Muridpur
1324,"Well near Imam Deem's home",,,FALSE,,,34,Tamas,,
1389,"Road in front of the Hasan house",Unaffiliated,,FALSE,,,25,"Sunlight on a Broken Column",,
1396,Hostel,Unaffiliated,,CREATED,,,25,"Sunlight on a Broken Column",3075,Hostel
1400,"Banta Singh's house in Mano Majra",,,FALSE,,,28,"Train to Pakistan",,
1419,Fields,Unknown,,FALSE,,,28,"Train to Pakistan",,
1441,"Keekar Grove near Mano Majra",Unaffiliated,,FALSE,,,28,"Train to Pakistan",,
1450,"Enroute Chundunnugger",Unknown,,FALSE,,,28,"Train to Pakistan",,
1457,"Chundunnugger Police Station",Unknown,,FALSE,,,28,"Train to Pakistan",,
1489,"A ghost train from Pakistan",Sikh|Hindu,Speculation,FALSE,,,28,"Train to Pakistan",,
1516,"The Gali, where Shambu's elderly Grandparents lived.",Hindu|Muslim,"Other-identified.Narrator other-attributed",FALSE,,,34,Tamas,,
1517,"Veranda in Rest House",Unknown,,FALSE,,,28,"Train to Pakistan",,
1524,"The Gali where Shambu's elderly grandparents lived [Beyond the tap]",Hindu,"Other-identified.Narrator other-attributed",FALSE,,,34,Tamas,,
1526,"The gali where Shambu's Elderly Grandparents lived (End of the Gali) i.e The 2 or 3 mudhuts",Muslim,,FALSE,,,34,Tamas,,
1531,"The Two Storey house (Shambhu's Grandparents lived downstairs)",Unknown,,CREATED,,,34,Tamas,,
1571,"Broken tomb of a pir at the bend of Shambhu's gali",Muslim,,FALSE,,,34,Tamas,,
1637,"Galli to left of gurudwara",Unaffiliated,,FALSE,,,34,Tamas,,
1645,"Outside Nathu's Room",,,FALSE,,,34,Tamas,,
1663,"Nathu's Room (Home)",,,FALSE,,,34,Tamas,,
1876,Bazaar,Unknown,,FALSE,,,25,"Sunlight on a Broken Column",,
1880,Ridge,Unaffiliated,,FALSE,,,25,"Sunlight on a Broken Column",,
1883,"Railway Crossing",,,FALSE,,,25,"Sunlight on a Broken Column",,
1894,"Chairman's house",Hindu,Definitional,FALSE,,,34,Tamas,,
1896,Galis,Unaffiliated,Definitional,FALSE,45,,34,Tamas,,
1898,"Gurkha Chowkidar's Room",Hindu,Definitional,FALSE,45,,34,Tamas,,
1914,"Kemal's room",,,FALSE,264,,25,"Sunlight on a Broken Column",22,"Lucknow University"
1915,Ashiana,,,CREATED,270,,25,"Sunlight on a Broken Column",22,"Lucknow University"
1917,"Settlement for refugees",,,FALSE,270,,25,"Sunlight on a Broken Column",,
1918,Residency,,,CREATED,270,,25,"Sunlight on a Broken Column",3068,Residency
1919,Mall,,,MAYBE,,,25,"Sunlight on a Broken Column",,
1920,"Government House",,,CREATED,270,,25,"Sunlight on a Broken Column",3067,"Government House"
1921,Conservatory,,,FALSE,272,,25,"Sunlight on a Broken Column",,
1922,"Tennis Court",,,FALSE,272,FALSE,25,"Sunlight on a Broken Column",,
1923,garage,,,FALSE,273,,25,"Sunlight on a Broken Column",,
1924,stable,,,FALSE,272,,25,"Sunlight on a Broken Column",,
1925,"servant quarters",,,FALSE,273,,25,"Sunlight on a Broken Column",,
1926,"kitchen garden",,,FALSE,273,,25,"Sunlight on a Broken Column",,
1937,Ashram,,,MAYBE,276,,25,"Sunlight on a Broken Column",,
1942,"Store-house/Youth Wing Gathering",Hindu,Definitional,FALSE,,FALSE,34,Tamas,,
1946,"Sweet Shop",Hindu,"Other-identified.Character other-attributed",FALSE,48,,34,Tamas,,
1948,"Outside the House (Store-House/Gathering of the Youth)",Hindu,Definitional,FALSE,,,34,Tamas,,
1950,Lawn,Unknown,Definitional,FALSE,,FALSE,25,"Sunlight on a Broken Column",,
1951,London,Christian,Speculation,CREATED,189,TRUE,25,"Sunlight on a Broken Column",2622,London
1984,Bombay,Unaffiliated,,CREATED,,TRUE,25,"Sunlight on a Broken Column",1350,Mumbai
1991,House,Muslim,Speculation,FALSE,,TRUE,25,"Sunlight on a Broken Column",,
2005,England,Unaffiliated,,CREATED,,TRUE,25,"Sunlight on a Broken Column",2612,England
2034,Baradari,Unknown,,CREATED,,TRUE,25,"Sunlight on a Broken Column",3066,Baradari
2064,"Ritz Hotel",Unknown,Speculation,MAYBE,202,TRUE,25,"Sunlight on a Broken Column",,
2065,Cinema,Unaffiliated,Speculation,FALSE,,TRUE,25,"Sunlight on a Broken Column",,
2066,Shimla,Hindu,Definitional,CREATED,204,TRUE,25,"Sunlight on a Broken Column",2609,Shimla
2067,"Medical College Hospital",Unaffiliated,Speculation,CREATED,204,TRUE,25,"Sunlight on a Broken Column",22,"Lucknow University"
2068,Boathouse,Unknown,Speculation,FALSE,,FALSE,25,"Sunlight on a Broken Column",,
2145,"Baba Jan’s room",,,FALSE,,,25,"Sunlight on a Broken Column",,
2146,"Laila and Zahra’s room",,,FALSE,,,25,"Sunlight on a Broken Column",,
2147,Hasanpur,,,CREATED,,,25,"Sunlight on a Broken Column",1453,Hasanpur
2149,"Raja Hasan Ahmad’s palace",,,FALSE,,,25,"Sunlight on a Broken Column",,
2150,"Aunt Abida’s room",,,FALSE,,,25,"Sunlight on a Broken Column",,
2151,"English Universities",,,FALSE,,,25,"Sunlight on a Broken Column",,
2152,"Mango grove on the outskirts of the village where the grass grew over the graves of my ancestors",,,FALSE,,,25,"Sunlight on a Broken Column",,
2155,Orchards,,,FALSE,,,25,"Sunlight on a Broken Column",,
2156,Veranda,,,FALSE,,,25,"Sunlight on a Broken Column",,
2157,Shops,,,FALSE,,,25,"Sunlight on a Broken Column",,
2158,Offices,,,FALSE,,,25,"Sunlight on a Broken Column",,
2159,Restaurants,,,FALSE,,,25,"Sunlight on a Broken Column",,
2161,"The Mall",,,FALSE,,,25,"Sunlight on a Broken Column",,
2162,"Marble pavilion",,,MAYBE,,,25,"Sunlight on a Broken Column",,
2163,River-bank,,,FALSE,,,25,"Sunlight on a Broken Column",,
2164,"House and garden built by Raja Hasan Ahmad",,,FALSE,,,25,"Sunlight on a Broken Column",,
2166,"Hasan family house",,,FALSE,,,25,"Sunlight on a Broken Column",,
2167,"sun-lit courtyard",,,FALSE,,,25,"Sunlight on a Broken Column",,
2168,"Neighbouring villages to Hasanpur",,,CREATED,,,25,"Sunlight on a Broken Column",1453,Hasanpur
2169,"Houses of Laila’s great grandfather and his brother’s descendants",,,FALSE,,,25,"Sunlight on a Broken Column",,
2170,"Carpenter’s shed",,,FALSE,,,25,"Sunlight on a Broken Column",,
2171,"Mud-walled veranda",,,FALSE,,,25,"Sunlight on a Broken Column",,
2172,"Small courtyard",,,FALSE,,,25,"Sunlight on a Broken Column",,
2176,"Forbidden street",Muslim,,FALSE,,,25,"Sunlight on a Broken Column",,
2218,"Public Park",Unknown,,MAYBE,,,25,"Sunlight on a Broken Column",,
2224,Surmai,Unknown,,FALSE,,,25,"Sunlight on a Broken Column",,
2293,Chowk,Unknown,Speculation,FALSE,210,TRUE,25,"Sunlight on a Broken Column",,
2303,"Amirpur House",Hindu,Speculation,CREATED,,TRUE,25,"Sunlight on a Broken Column",3065,"Amirpur Village"
2305,"in the car",,,FALSE,,,25,"Sunlight on a Broken Column",,
2306,"English Club",Christian,Speculation,MAYBE,212,TRUE,25,"Sunlight on a Broken Column",,
2309,"Bhimnagar Palace",,,CREATED,,,25,"Sunlight on a Broken Column",,
